Integer Structure Map — tinyllama_tinyllama-1.1b-chat-v1.0
Scanned 200/201 tensors (eps=0.1, 1 unsupported types skipped)
Q4_0 max entropy = 4.0 bits (16 uniform levels). Lower = more structured.

TENSOR                                          TYPE    ELEMS ENTROPY  EFF_LV  %LOW_E MAX|W|    %ZERO
------------------------------------------------------------------------------------------------------------
    └─ top levels: 0:12.3%, 1:11.6%, -1:11.5%, 2:9.8%, -2:9.7%
  blk.15.attn_k.weight — entropy 3.368 (10.3 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.2%, -1:11.6%, 1:11.5%, -2:9.7%, 2:9.7%
  blk.20.attn_q.weight — entropy 3.369 (10.3 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.2%, 1:11.5%, -1:11.5%, -2:9.8%, 2:9.7%
  blk.16.attn_q.weight — entropy 3.369 (10.3 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.3%, 1:11.5%, -1:11.5%, -2:9.7%, 2:9.7%
  blk.9.attn_v.weight — entropy 3.369 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:12.9%, 1:11.6%, -1:11.4%, 2:9.7%, -2:9.6%
  blk.7.attn_v.weight — entropy 3.370 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:13.1%, -1:11.6%, 1:11.5%, -2:9.6%, 2:9.5%
  blk.4.attn_q.weight — entropy 3.370 (10.3 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.3%, 1:11.5%, -1:11.5%, 2:9.7%, -2:9.7%
  blk.3.attn_q.weight — entropy 3.370 (10.3 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.2%, -1:11.5%, 1:11.4%, 2:9.7%, -2:9.7%
  blk.6.attn_v.weight — entropy 3.371 (10.3 effective levels), 0.0% low-entropy blocks
